age_group,gender,personality_type,habit_name,frequency_per_week,duration_minutes,motivation_level,past_consistency,success_likelihood
Teen,Male,Ambivert,Walk the dog,3,22,Medium,Medium,Unlikely
Adult,Other,Ambivert,Walk the dog,7,38,High,Low,Likely
Adult,Other,Extrovert,Meditate,1,5,Low,Medium,Unlikely
Adult,Other,Extrovert,Cook a new recipe,1,57,Low,High,Likely
Senior,Female,Ambivert,Practice guitar,3,26,Medium,Medium,Unlikely
Senior,Male,Extrovert,Meditate,6,20,High,High,Very Likely
Senior,Other,Introvert,Go for a run,1,26,High,Low,Unlikely
Teen,Female,Extrovert,Write journal,6,54,High,Medium,Likely
Senior,Female,Extrovert,Practice guitar,2,20,Medium,Low,Unlikely
Teen,Female,Ambivert,Go for a run,4,32,High,Medium,Likely
Adult,Other,Extrovert,Study 1 hour,2,32,High,High,Very Likely
Senior,Other,Extrovert,Cook a new recipe,4,59,High,High,Very Likely
Teen,Other,Extrovert,Cook a new recipe,2,26,Low,High,Unlikely
Teen,Other,Introvert,Cook a new recipe,4,60,Medium,High,Likely
Senior,Other,Extrovert,Meditate,1,10,Low,Low,Unlikely
Adult,Other,Introvert,Do yoga,3,29,Medium,Low,Unlikely
Adult,Other,Introvert,Sketch something,3,46,High,Low,Likely
Adult,Other,Introvert,Walk the dog,5,6,Low,Low,Unlikely
Teen,Other,Introvert,Write journal,4,11,High,Low,Unlikely
Teen,Female,Ambivert,Walk the dog,5,57,High,High,Very Likely
Teen,Other,Introvert,Do yoga,6,21,Medium,Low,Unlikely
Teen,Male,Extrovert,Study 1 hour,6,39,High,Low,Likely
Adult,Female,Introvert,Study 1 hour,5,24,Low,Low,Unlikely
Senior,Other,Extrovert,Study 1 hour,4,48,Medium,High,Likely
Teen,Male,Introvert,Practice guitar,3,6,Medium,High,Unlikely
Teen,Other,Ambivert,Go for a run,4,11,Low,High,Unlikely
Adult,Male,Introvert,Go for a run,6,36,High,High,Very Likely
Senior,Male,Introvert,Study 1 hour,1,53,High,Low,Likely
Senior,Male,Ambivert,Write journal,5,23,High,Low,Likely
Adult,Male,Introvert,Meditate,5,16,High,Medium,Likely
Adult,Female,Extrovert,Write journal,6,13,High,Low,Likely
Senior,Female,Introvert,Write journal,4,31,Medium,High,Likely
Teen,Male,Introvert,Go for a run,5,18,Medium,High,Likely
Senior,Other,Introvert,Cook a new recipe,3,6,Low,Low,Unlikely
Adult,Male,Ambivert,Write journal,5,25,High,Medium,Likely
Teen,Female,Introvert,Write journal,4,8,High,High,Likely
Teen,Other,Introvert,Walk the dog,6,55,High,Medium,Likely
Adult,Female,Extrovert,Cook a new recipe,3,25,Low,High,Unlikely
Adult,Female,Introvert,Go for a run,3,52,High,High,Very Likely
Adult,Other,Introvert,Meditate,5,26,Medium,Low,Unlikely
Senior,Male,Introvert,Sketch something,4,53,High,High,Very Likely
Senior,Male,Introvert,Go for a run,5,6,Low,Medium,Unlikely
Teen,Male,Extrovert,Go for a run,7,21,Medium,Medium,Unlikely
Adult,Male,Extrovert,Write journal,1,23,Medium,Low,Unlikely
Teen,Other,Ambivert,Walk the dog,6,44,Medium,High,Likely
Teen,Other,Introvert,Do yoga,7,28,High,Medium,Likely
Teen,Other,Ambivert,Study 1 hour,1,24,Low,Low,Unlikely
Teen,Female,Ambivert,Read a book,3,42,Low,Medium,Unlikely
Adult,Other,Introvert,Walk the dog,5,16,High,Low,Likely
Teen,Male,Extrovert,Do yoga,1,29,Low,Medium,Unlikely
Adult,Female,Extrovert,Write journal,2,27,Medium,High,Unlikely
Adult,Male,Introvert,Write journal,1,54,Medium,Medium,Unlikely
Senior,Male,Introvert,Meditate,5,38,Low,Medium,Unlikely
Adult,Other,Extrovert,Do yoga,5,36,Low,Low,Unlikely
Senior,Other,Introvert,Practice guitar,6,55,High,Low,Likely
Adult,Male,Introvert,Study 1 hour,1,28,High,Low,Unlikely
Adult,Male,Introvert,Read a book,5,46,High,Medium,Likely
Adult,Female,Extrovert,Meditate,5,29,High,Low,Likely
Senior,Other,Ambivert,Walk the dog,7,7,High,High,Very Likely
Senior,Female,Ambivert,Walk the dog,6,29,High,Low,Likely
Teen,Female,Introvert,Do yoga,7,32,Medium,Low,Unlikely
Senior,Female,Extrovert,Study 1 hour,6,16,Low,High,Likely
Senior,Male,Introvert,Study 1 hour,6,30,High,Low,Likely
Senior,Female,Extrovert,Walk the dog,7,52,Medium,Low,Unlikely
Senior,Female,Introvert,Practice guitar,6,48,Low,Medium,Unlikely
Teen,Male,Extrovert,Write journal,2,12,Low,Medium,Unlikely
Senior,Other,Extrovert,Study 1 hour,3,9,Low,Low,Unlikely
Adult,Other,Ambivert,Do yoga,5,15,High,High,Very Likely
Adult,Female,Introvert,Walk the dog,4,46,High,Low,Likely
Senior,Male,Ambivert,Write journal,6,39,High,Low,Likely
Senior,Other,Ambivert,Cook a new recipe,3,31,Low,Low,Unlikely
Adult,Female,Extrovert,Go for a run,6,59,Low,Medium,Unlikely
Adult,Female,Introvert,Write journal,3,45,Medium,High,Likely
Teen,Male,Extrovert,Study 1 hour,4,48,Medium,High,Likely
Adult,Female,Extrovert,Go for a run,1,42,Medium,High,Likely
Adult,Other,Extrovert,Study 1 hour,2,23,Medium,Medium,Unlikely
Senior,Male,Introvert,Do yoga,5,52,Low,Medium,Unlikely
Adult,Other,Introvert,Sketch something,1,57,High,Low,Likely
Teen,Other,Extrovert,Write journal,7,59,High,Medium,Likely
Adult,Other,Introvert,Go for a run,4,60,High,Low,Likely
Senior,Female,Extrovert,Do yoga,2,36,High,Medium,Likely
Senior,Female,Introvert,Study 1 hour,2,50,Medium,Low,Unlikely
Adult,Other,Introvert,Write journal,2,32,Low,Medium,Unlikely
Senior,Other,Ambivert,Do yoga,4,40,High,High,Very Likely
Teen,Male,Extrovert,Study 1 hour,6,22,Low,Low,Unlikely
Teen,Male,Ambivert,Sketch something,6,14,Medium,Medium,Unlikely
Adult,Female,Ambivert,Sketch something,7,36,Medium,Medium,Unlikely
Adult,Female,Extrovert,Read a book,6,22,High,Low,Likely
Adult,Male,Extrovert,Meditate,1,16,High,Medium,Unlikely
Senior,Other,Introvert,Do yoga,5,55,Medium,High,Likely
Teen,Female,Extrovert,Meditate,2,12,Medium,Low,Unlikely
Teen,Other,Ambivert,Read a book,7,37,Low,Low,Unlikely
Senior,Male,Ambivert,Practice guitar,7,50,Medium,Low,Unlikely
Teen,Female,Extrovert,Write journal,2,59,Low,Low,Unlikely
Adult,Female,Ambivert,Study 1 hour,1,42,Medium,Low,Unlikely
Adult,Male,Introvert,Walk the dog,6,18,Low,High,Likely
Adult,Female,Ambivert,Meditate,2,6,Medium,Low,Unlikely
Teen,Male,Introvert,Meditate,2,13,Medium,High,Unlikely
Adult,Female,Ambivert,Do yoga,4,48,Low,High,Likely
Senior,Male,Introvert,Write journal,3,9,Low,High,Unlikely
Senior,Female,Introvert,Do yoga,7,38,High,Low,Likely
Teen,Other,Extrovert,Sketch something,1,23,High,High,Likely
Senior,Other,Introvert,Meditate,1,11,Medium,Low,Unlikely
Senior,Other,Extrovert,Write journal,6,43,Medium,High,Likely
Teen,Female,Ambivert,Cook a new recipe,1,46,Low,Low,Unlikely
Adult,Female,Ambivert,Practice guitar,6,21,Medium,Medium,Unlikely
Adult,Other,Ambivert,Study 1 hour,4,30,High,Medium,Likely
Adult,Other,Introvert,Read a book,4,50,Low,High,Likely
Teen,Male,Ambivert,Practice guitar,5,31,Medium,Medium,Unlikely
Senior,Male,Ambivert,Read a book,6,47,Low,High,Likely
Adult,Male,Extrovert,Meditate,7,32,High,High,Very Likely
Adult,Other,Extrovert,Practice guitar,4,24,High,High,Likely
Teen,Other,Ambivert,Practice guitar,6,10,High,Medium,Likely
Adult,Other,Ambivert,Study 1 hour,7,12,Medium,High,Likely
Teen,Male,Introvert,Walk the dog,7,36,Medium,Medium,Unlikely
Senior,Female,Introvert,Study 1 hour,1,23,Medium,Medium,Unlikely
Teen,Other,Ambivert,Do yoga,5,36,Medium,Low,Unlikely
Teen,Female,Extrovert,Walk the dog,3,23,Medium,Medium,Unlikely
Teen,Female,Ambivert,Practice guitar,2,28,Medium,Low,Unlikely
Teen,Female,Introvert,Walk the dog,2,28,High,High,Likely
Senior,Male,Extrovert,Walk the dog,5,60,High,High,Very Likely
Senior,Female,Extrovert,Do yoga,6,21,Medium,Low,Unlikely
Adult,Other,Introvert,Write journal,6,60,High,High,Very Likely
Senior,Male,Ambivert,Meditate,6,60,Low,Low,Unlikely
Senior,Other,Ambivert,Write journal,3,22,Medium,Low,Unlikely
Adult,Other,Ambivert,Meditate,7,16,Low,High,Likely
Senior,Male,Introvert,Write journal,2,45,Medium,Low,Unlikely
Teen,Other,Extrovert,Write journal,5,27,Medium,Low,Unlikely
Teen,Other,Introvert,Read a book,6,60,High,Low,Likely
Adult,Male,Ambivert,Walk the dog,4,52,Low,High,Likely
Adult,Other,Introvert,Sketch something,1,22,High,High,Likely
Adult,Female,Extrovert,Do yoga,3,20,Medium,High,Unlikely
Teen,Other,Introvert,Write journal,6,20,Low,High,Likely
Senior,Female,Ambivert,Practice guitar,2,40,Medium,High,Likely
Teen,Other,Extrovert,Cook a new recipe,1,27,High,Medium,Unlikely
Adult,Male,Introvert,Read a book,5,26,Medium,Medium,Unlikely
Senior,Male,Introvert,Cook a new recipe,6,43,Medium,Low,Unlikely
Senior,Other,Extrovert,Go for a run,2,37,High,Medium,Likely
Teen,Male,Extrovert,Study 1 hour,1,28,Medium,High,Unlikely
Adult,Other,Ambivert,Go for a run,4,59,Low,High,Likely
Teen,Male,Extrovert,Meditate,3,24,High,High,Likely
Senior,Female,Ambivert,Write journal,5,37,Medium,Low,Unlikely
Teen,Other,Introvert,Do yoga,2,35,High,Low,Likely
Teen,Female,Ambivert,Practice guitar,7,44,Medium,Low,Unlikely
Adult,Female,Introvert,Sketch something,4,59,High,Low,Likely
Adult,Other,Extrovert,Sketch something,3,12,High,Low,Unlikely
Senior,Female,Introvert,Read a book,3,14,Low,Low,Unlikely
Teen,Other,Extrovert,Read a book,7,5,High,Medium,Likely
Teen,Female,Introvert,Read a book,4,25,Low,High,Unlikely
Teen,Other,Introvert,Read a book,2,29,High,Medium,Unlikely
Senior,Other,Introvert,Walk the dog,3,36,High,Low,Likely
Senior,Male,Introvert,Write journal,5,57,Medium,High,Likely
Adult,Other,Ambivert,Cook a new recipe,1,50,Medium,High,Likely
Adult,Other,Introvert,Write journal,5,50,Medium,High,Likely
Adult,Female,Ambivert,Write journal,6,14,High,Medium,Likely
Teen,Other,Extrovert,Go for a run,3,55,High,High,Very Likely
Teen,Male,Extrovert,Do yoga,1,52,Low,Low,Unlikely
Adult,Female,Ambivert,Practice guitar,4,13,Low,Low,Unlikely
Teen,Female,Extrovert,Meditate,1,24,Low,Medium,Unlikely
Adult,Male,Extrovert,Do yoga,1,52,Medium,Medium,Unlikely
Senior,Female,Introvert,Read a book,7,24,Medium,Low,Unlikely
Adult,Female,Introvert,Cook a new recipe,1,44,Low,Medium,Unlikely
Senior,Female,Introvert,Go for a run,3,11,High,High,Likely
Teen,Female,Ambivert,Walk the dog,7,15,Medium,Medium,Unlikely
Adult,Male,Ambivert,Cook a new recipe,7,25,Medium,High,Likely
Teen,Male,Extrovert,Go for a run,6,42,Low,High,Likely
Senior,Female,Introvert,Study 1 hour,6,51,Medium,High,Likely
Senior,Female,Ambivert,Walk the dog,7,23,Low,High,Likely
Senior,Male,Ambivert,Read a book,7,50,Medium,High,Likely
Teen,Male,Introvert,Meditate,2,19,High,Low,Unlikely
Teen,Male,Ambivert,Read a book,6,10,High,Low,Likely
Teen,Female,Introvert,Cook a new recipe,3,60,Medium,Low,Unlikely
Teen,Female,Extrovert,Read a book,2,14,Low,High,Unlikely
Senior,Other,Extrovert,Study 1 hour,4,50,Medium,Medium,Unlikely
Senior,Male,Extrovert,Read a book,4,20,Low,Medium,Unlikely
Adult,Female,Introvert,Go for a run,4,49,Medium,High,Likely
Adult,Male,Ambivert,Sketch something,4,15,High,Medium,Unlikely
Teen,Female,Extrovert,Read a book,4,39,High,High,Very Likely
Senior,Male,Extrovert,Study 1 hour,5,12,Medium,Medium,Unlikely
Senior,Female,Extrovert,Write journal,7,32,Medium,High,Likely
Senior,Other,Ambivert,Write journal,3,7,Medium,Medium,Unlikely
Adult,Other,Ambivert,Meditate,2,6,High,Medium,Unlikely
Adult,Male,Introvert,Meditate,4,57,High,Low,Likely
Senior,Female,Extrovert,Meditate,5,18,Low,Medium,Unlikely
Senior,Female,Ambivert,Do yoga,6,56,Medium,Medium,Unlikely
Senior,Male,Introvert,Practice guitar,5,33,Medium,High,Likely
Adult,Female,Extrovert,Meditate,5,57,High,Medium,Likely
Senior,Male,Ambivert,Read a book,3,58,Medium,Medium,Unlikely
Senior,Female,Ambivert,Meditate,4,51,Low,Medium,Unlikely
Teen,Male,Introvert,Practice guitar,5,7,Medium,Medium,Unlikely
Teen,Female,Extrovert,Do yoga,7,5,High,Medium,Likely
Adult,Male,Extrovert,Practice guitar,5,19,Medium,Low,Unlikely
Senior,Female,Ambivert,Cook a new recipe,4,24,High,Medium,Unlikely
Senior,Other,Extrovert,Meditate,3,26,Low,High,Unlikely
Teen,Female,Introvert,Meditate,5,38,Low,High,Likely
Adult,Male,Ambivert,Meditate,2,54,Medium,Medium,Unlikely
Teen,Other,Ambivert,Cook a new recipe,1,37,Medium,Medium,Unlikely
Teen,Female,Introvert,Practice guitar,6,13,High,Medium,Likely
Teen,Other,Ambivert,Go for a run,1,7,Low,Low,Unlikely
Teen,Female,Extrovert,Read a book,1,6,Low,High,Unlikely
Senior,Other,Extrovert,Study 1 hour,3,8,Low,Low,Unlikely
Senior,Male,Ambivert,Read a book,5,20,Low,Low,Unlikely
Teen,Female,Introvert,Meditate,1,58,Medium,Medium,Unlikely
Adult,Female,Introvert,Do yoga,1,37,Medium,Medium,Unlikely
Adult,Male,Extrovert,Cook a new recipe,6,13,High,High,Very Likely
Adult,Other,Introvert,Go for a run,4,44,Low,Medium,Unlikely
Adult,Male,Ambivert,Walk the dog,7,42,Medium,High,Likely
Teen,Male,Ambivert,Go for a run,7,56,Medium,Low,Unlikely
Senior,Other,Extrovert,Study 1 hour,5,22,Low,High,Likely
Adult,Male,Extrovert,Read a book,5,20,Medium,High,Likely
Teen,Female,Extrovert,Meditate,6,12,High,High,Very Likely
Adult,Female,Introvert,Sketch something,4,27,High,Low,Unlikely
Adult,Female,Ambivert,Walk the dog,5,40,Low,Low,Unlikely
Teen,Male,Ambivert,Meditate,7,7,High,Medium,Likely
Senior,Female,Ambivert,Cook a new recipe,7,19,Medium,Medium,Unlikely
Senior,Female,Extrovert,Walk the dog,2,42,High,High,Very Likely
Teen,Female,Ambivert,Study 1 hour,6,37,Medium,High,Likely
Senior,Female,Introvert,Sketch something,3,22,Low,Low,Unlikely
Teen,Female,Introvert,Practice guitar,4,27,Low,Low,Unlikely
Teen,Female,Ambivert,Practice guitar,6,47,Medium,Low,Unlikely
Teen,Male,Extrovert,Practice guitar,1,7,Medium,High,Unlikely
Senior,Female,Ambivert,Do yoga,5,34,High,High,Very Likely
Teen,Female,Introvert,Practice guitar,2,49,Medium,Low,Unlikely
Adult,Other,Introvert,Write journal,7,21,Low,High,Likely
Senior,Male,Introvert,Walk the dog,2,54,Medium,Low,Unlikely
Senior,Male,Ambivert,Sketch something,3,36,High,Medium,Likely
Senior,Male,Introvert,Cook a new recipe,6,50,High,Low,Likely
Senior,Male,Extrovert,Write journal,2,11,Medium,High,Unlikely
Adult,Female,Ambivert,Write journal,6,43,High,High,Very Likely
Senior,Female,Ambivert,Sketch something,5,18,High,High,Very Likely
Senior,Other,Introvert,Cook a new recipe,5,60,Low,High,Likely
Teen,Other,Introvert,Walk the dog,7,19,Medium,Low,Unlikely
Senior,Male,Extrovert,Read a book,2,48,Low,Low,Unlikely
Adult,Other,Ambivert,Meditate,5,16,Low,Medium,Unlikely
Adult,Other,Introvert,Read a book,6,12,High,Low,Likely
Adult,Male,Extrovert,Study 1 hour,7,20,Low,Medium,Unlikely
Adult,Male,Introvert,Sketch something,5,45,Medium,Low,Unlikely
Senior,Other,Ambivert,Read a book,7,38,Medium,Low,Unlikely
Senior,Female,Introvert,Read a book,1,50,Medium,High,Likely
Adult,Other,Ambivert,Read a book,6,28,Low,Medium,Unlikely
Adult,Other,Introvert,Practice guitar,7,60,Medium,High,Likely
Senior,Female,Ambivert,Go for a run,4,33,Medium,High,Likely
Adult,Female,Extrovert,Read a book,5,20,Low,Low,Unlikely
Teen,Male,Ambivert,Meditate,5,9,Low,Low,Unlikely
Adult,Male,Extrovert,Sketch something,6,9,Low,Medium,Unlikely
Adult,Other,Ambivert,Study 1 hour,3,56,Low,Medium,Unlikely
Teen,Female,Extrovert,Go for a run,4,34,High,Low,Likely
Teen,Male,Introvert,Do yoga,7,57,Low,Medium,Unlikely
Senior,Other,Ambivert,Meditate,4,54,Low,Low,Unlikely
Senior,Female,Introvert,Meditate,7,54,Medium,Low,Unlikely
Teen,Other,Extrovert,Practice guitar,4,9,Medium,Low,Unlikely
Teen,Male,Ambivert,Practice guitar,2,47,Low,Medium,Unlikely
Senior,Male,Ambivert,Sketch something,1,17,Low,High,Unlikely
Adult,Female,Introvert,Meditate,1,39,Low,Medium,Unlikely
Teen,Other,Ambivert,Cook a new recipe,3,53,Medium,High,Likely
Senior,Female,Ambivert,Cook a new recipe,4,29,Medium,Medium,Unlikely
Adult,Male,Introvert,Sketch something,4,54,Low,High,Likely
Teen,Male,Ambivert,Read a book,5,18,Medium,High,Likely
Adult,Other,Introvert,Write journal,7,48,Medium,Medium,Unlikely
Senior,Other,Introvert,Do yoga,6,50,Low,Medium,Unlikely
Teen,Other,Introvert,Study 1 hour,2,30,Medium,High,Likely
Adult,Female,Introvert,Practice guitar,2,22,Low,Low,Unlikely
Teen,Other,Introvert,Study 1 hour,3,24,High,High,Likely
Adult,Other,Extrovert,Write journal,1,38,High,High,Very Likely
Senior,Male,Extrovert,Walk the dog,4,11,High,Low,Unlikely
Senior,Male,Introvert,Sketch something,6,51,Medium,High,Likely
Teen,Other,Extrovert,Read a book,3,14,High,Low,Unlikely
Adult,Other,Extrovert,Go for a run,7,19,Medium,Low,Unlikely
Teen,Male,Ambivert,Read a book,2,21,Low,Medium,Unlikely
Teen,Other,Introvert,Meditate,2,15,High,High,Likely
Adult,Female,Extrovert,Read a book,2,38,Medium,High,Likely
Adult,Female,Ambivert,Meditate,4,31,High,Low,Likely
Adult,Female,Ambivert,Study 1 hour,4,25,Medium,High,Unlikely
Senior,Other,Introvert,Walk the dog,4,35,Medium,Low,Unlikely
Teen,Male,Introvert,Practice guitar,5,54,Low,High,Likely
Teen,Other,Ambivert,Walk the dog,1,8,Medium,High,Unlikely
Senior,Other,Introvert,Meditate,7,45,Medium,Low,Unlikely
Adult,Male,Introvert,Go for a run,2,53,High,Low,Likely
Senior,Male,Ambivert,Write journal,2,21,Low,High,Unlikely
Senior,Male,Ambivert,Study 1 hour,5,53,Medium,High,Likely
Senior,Female,Introvert,Study 1 hour,2,52,High,Low,Likely
Teen,Other,Extrovert,Read a book,7,24,Low,Medium,Unlikely
Senior,Male,Introvert,Practice guitar,2,29,Medium,Medium,Unlikely
Teen,Other,Extrovert,Read a book,4,44,High,High,Very Likely
Teen,Female,Ambivert,Read a book,4,27,Low,High,Unlikely
Teen,Female,Extrovert,Meditate,1,19,Low,High,Unlikely
Adult,Male,Ambivert,Write journal,7,37,Low,Low,Unlikely
Teen,Male,Introvert,Practice guitar,7,23,Low,High,Likely
Teen,Other,Introvert,Read a book,2,19,Medium,High,Unlikely
Adult,Male,Ambivert,Study 1 hour,3,45,Medium,High,Likely
Teen,Other,Ambivert,Read a book,2,9,Low,Medium,Unlikely
Senior,Male,Ambivert,Do yoga,2,20,Low,High,Unlikely
Senior,Other,Introvert,Sketch something,1,49,Medium,High,Likely
Teen,Other,Introvert,Study 1 hour,3,52,High,Low,Likely
Adult,Other,Extrovert,Do yoga,2,36,Low,Medium,Unlikely
Senior,Other,Ambivert,Sketch something,6,26,Medium,Low,Unlikely
Adult,Female,Extrovert,Go for a run,6,47,Medium,High,Likely
Adult,Other,Introvert,Do yoga,7,36,High,High,Very Likely
Senior,Male,Extrovert,Meditate,7,17,Medium,High,Likely
Adult,Female,Extrovert,Go for a run,3,42,Low,High,Likely
Senior,Female,Introvert,Cook a new recipe,6,30,Medium,High,Likely
Adult,Other,Introvert,Practice guitar,4,56,Low,Low,Unlikely
Senior,Female,Ambivert,Study 1 hour,4,21,Medium,High,Unlikely
Teen,Other,Extrovert,Cook a new recipe,3,9,Low,High,Unlikely
Senior,Male,Introvert,Study 1 hour,2,53,Low,Medium,Unlikely
Senior,Other,Introvert,Practice guitar,7,37,Medium,Medium,Unlikely
Senior,Female,Extrovert,Practice guitar,3,31,Low,High,Likely
Senior,Male,Introvert,Study 1 hour,6,9,Medium,High,Likely
Adult,Other,Ambivert,Practice guitar,3,41,Medium,High,Likely
Teen,Male,Ambivert,Do yoga,6,11,Medium,High,Likely
Senior,Male,Extrovert,Walk the dog,7,52,Low,High,Likely
Adult,Female,Ambivert,Write journal,4,22,Medium,High,Unlikely
Teen,Male,Introvert,Study 1 hour,3,35,High,Low,Likely
Teen,Female,Introvert,Cook a new recipe,7,10,Low,Low,Unlikely
Teen,Male,Introvert,Cook a new recipe,7,6,High,Low,Likely
Teen,Other,Introvert,Practice guitar,5,17,High,Medium,Likely
Senior,Male,Extrovert,Study 1 hour,6,46,High,High,Very Likely
Senior,Other,Ambivert,Walk the dog,5,57,High,Medium,Likely
Adult,Other,Ambivert,Walk the dog,4,56,Medium,Medium,Unlikely
Adult,Male,Introvert,Write journal,7,15,High,Medium,Likely
Adult,Other,Extrovert,Do yoga,7,30,Low,Low,Unlikely
Teen,Male,Introvert,Write journal,2,25,High,High,Likely
Teen,Male,Introvert,Meditate,6,6,High,High,Very Likely
Senior,Other,Extrovert,Cook a new recipe,2,44,High,Medium,Likely
Teen,Other,Extrovert,Walk the dog,4,60,Medium,Low,Unlikely
Teen,Female,Introvert,Practice guitar,2,58,High,Medium,Likely
Teen,Other,Ambivert,Walk the dog,7,55,High,Medium,Likely
Adult,Female,Introvert,Walk the dog,6,24,High,High,Very Likely
Adult,Other,Ambivert,Sketch something,1,21,Low,Low,Unlikely
Senior,Male,Ambivert,Cook a new recipe,6,20,Medium,High,Likely
Teen,Other,Extrovert,Meditate,6,46,Medium,Medium,Unlikely
Teen,Male,Extrovert,Write journal,5,9,Medium,High,Likely
Senior,Male,Introvert,Meditate,1,18,Low,Medium,Unlikely
Teen,Male,Ambivert,Sketch something,1,28,High,Low,Unlikely
Teen,Female,Ambivert,Do yoga,1,55,Low,High,Likely
Adult,Other,Introvert,Meditate,6,8,Medium,High,Likely
Senior,Male,Introvert,Walk the dog,4,56,Medium,High,Likely
Senior,Male,Introvert,Go for a run,1,52,Medium,High,Likely
Senior,Female,Extrovert,Study 1 hour,3,28,Low,High,Unlikely
Senior,Other,Introvert,Meditate,2,51,Medium,Low,Unlikely
Adult,Other,Introvert,Study 1 hour,4,13,High,Low,Unlikely
Adult,Female,Ambivert,Sketch something,3,7,Low,High,Unlikely
Teen,Female,Introvert,Meditate,6,59,High,Medium,Likely
Teen,Other,Ambivert,Meditate,6,13,Medium,Medium,Unlikely
Teen,Female,Ambivert,Read a book,3,22,Medium,High,Unlikely
Teen,Other,Extrovert,Walk the dog,5,40,Low,High,Likely
Adult,Other,Introvert,Practice guitar,5,23,High,Low,Likely
Senior,Male,Introvert,Study 1 hour,3,28,Low,Low,Unlikely
Adult,Male,Ambivert,Do yoga,5,8,High,High,Very Likely
Teen,Other,Extrovert,Read a book,2,13,Medium,High,Unlikely
Adult,Other,Extrovert,Walk the dog,2,37,Low,Medium,Unlikely
Senior,Other,Introvert,Sketch something,6,5,Low,Low,Unlikely
Senior,Other,Ambivert,Study 1 hour,5,56,High,High,Very Likely
Adult,Other,Introvert,Write journal,1,55,Medium,Low,Unlikely
Adult,Other,Introvert,Sketch something,3,39,Medium,High,Likely
Adult,Female,Introvert,Practice guitar,2,14,High,High,Likely
Teen,Other,Introvert,Study 1 hour,7,16,High,High,Very Likely
Adult,Female,Ambivert,Sketch something,5,22,High,High,Very Likely
Adult,Female,Extrovert,Read a book,7,18,High,Medium,Likely
Adult,Other,Introvert,Sketch something,5,14,High,High,Very Likely
Senior,Other,Introvert,Practice guitar,2,14,Medium,Medium,Unlikely
Senior,Female,Introvert,Practice guitar,2,22,Medium,Medium,Unlikely
Teen,Female,Introvert,Go for a run,1,28,Low,High,Unlikely
Teen,Other,Extrovert,Meditate,5,5,Medium,Low,Unlikely
Senior,Other,Extrovert,Write journal,5,34,High,Low,Likely
Senior,Female,Extrovert,Write journal,4,19,Medium,High,Unlikely
Senior,Female,Extrovert,Read a book,6,12,Medium,High,Likely
Adult,Female,Introvert,Practice guitar,1,39,Medium,High,Likely
Adult,Male,Ambivert,Go for a run,2,22,Low,Low,Unlikely
Senior,Female,Extrovert,Walk the dog,7,45,Low,Low,Unlikely
Adult,Male,Extrovert,Go for a run,2,20,High,High,Likely
Adult,Other,Introvert,Do yoga,3,25,High,Low,Unlikely
Teen,Other,Introvert,Sketch something,6,19,Low,Medium,Unlikely
Senior,Female,Introvert,Meditate,2,9,Medium,Low,Unlikely
Senior,Other,Introvert,Go for a run,5,49,Medium,Low,Unlikely
Adult,Other,Ambivert,Sketch something,2,58,Low,High,Likely
Senior,Other,Ambivert,Meditate,5,56,High,Medium,Likely
Teen,Other,Extrovert,Study 1 hour,5,11,Medium,High,Likely
Teen,Male,Ambivert,Do yoga,1,52,High,Low,Likely
Teen,Male,Extrovert,Do yoga,2,11,Medium,Medium,Unlikely
Senior,Female,Extrovert,Practice guitar,1,31,High,High,Very Likely
Senior,Female,Ambivert,Do yoga,7,29,Medium,Low,Unlikely
Senior,Female,Extrovert,Study 1 hour,7,26,High,Medium,Likely
Senior,Other,Introvert,Practice guitar,6,52,High,High,Very Likely
Senior,Other,Extrovert,Cook a new recipe,5,17,High,Medium,Likely
Teen,Male,Introvert,Walk the dog,7,21,Low,Low,Unlikely
Adult,Male,Ambivert,Read a book,6,45,High,High,Very Likely
Teen,Female,Ambivert,Sketch something,2,48,Low,Low,Unlikely
Senior,Male,Extrovert,Walk the dog,6,17,Low,Medium,Unlikely
Teen,Male,Introvert,Walk the dog,6,30,High,Low,Likely
Senior,Male,Extrovert,Write journal,2,13,Low,Medium,Unlikely
Senior,Male,Ambivert,Go for a run,1,9,Low,High,Unlikely
Teen,Male,Extrovert,Do yoga,1,43,Low,Low,Unlikely
Senior,Female,Extrovert,Cook a new recipe,5,37,Medium,High,Likely
Adult,Female,Introvert,Go for a run,5,8,High,High,Very Likely
Senior,Male,Ambivert,Read a book,2,32,Low,High,Likely
Adult,Female,Extrovert,Go for a run,2,30,High,High,Very Likely
Adult,Other,Introvert,Write journal,4,8,Low,Low,Unlikely
Senior,Male,Extrovert,Read a book,4,20,High,Low,Unlikely
Teen,Other,Introvert,Study 1 hour,3,41,Low,High,Likely
Adult,Female,Introvert,Study 1 hour,7,26,Medium,High,Likely
Teen,Female,Extrovert,Practice guitar,5,40,Medium,Medium,Unlikely
Adult,Other,Ambivert,Go for a run,6,42,Medium,High,Likely
Senior,Female,Ambivert,Sketch something,7,59,Low,Medium,Unlikely
Senior,Male,Introvert,Cook a new recipe,3,39,High,Medium,Likely
Adult,Other,Ambivert,Write journal,7,29,Low,High,Likely
Senior,Male,Introvert,Read a book,3,12,Medium,Low,Unlikely
Adult,Other,Ambivert,Cook a new recipe,1,21,Low,Medium,Unlikely
Senior,Female,Extrovert,Go for a run,6,22,High,Low,Likely
